ID;Simulation ID;Run;Iteration;Activity;Timestamp (sec);Duration(sec);Type;Cause ID;Result ID;Attributes
43;sim_1747527600000;2;15;Стеллаж 1 повреждён (Т2) — термическое воздействие;57.66;;object;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""fire"", ""objectId"": ""object_1778672180187"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 1"", ""position"": {""x"": 450, ""y"": 420}, ""temperature_C"": 142, ""description"": ""Товар частично деформирован, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 70, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""damaged"", ""currentDamage"": 5.5}}"
44;sim_1747527600000;2;7;Оценка пожара: риск распространения;35.66;45.0;action;;;"{""nodeId"": ""node_1779052090057"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
45;sim_1747527600000;2;48;Активация системы автотушения;80.66;120.0;decision;;[46,47,48,49];"{""nodeId"": ""node_1779052282008"", ""responsible"": ""Инженер по безопасности"", ""parallel"": false, ""decisionNodeName"": ""Оценка пожара: риск распространения"", ""resultEventId"": 57}"
46;sim_1747527600000;2;53;Спринклер 1 сработал: температура 62°C;85.66;;object;45;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672149322"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 1"", ""position"": {""x"": 543, ""y"": 502}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 300, ""activationTemp"": 68}}"
47;sim_1747527600000;2;56;Спринклер 2 сработал: температура 65°C;87.66;;object;45;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672164672"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 2"", ""position"": {""x"": 559, ""y"": 832}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 290, ""activationTemp"": 68}}"
48;sim_1747527600000;2;59;Спринклер 3 сработал: температура 68°C;89.66;;object;45;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672385873"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 3"", ""position"": {""x"": 1019, ""y"": 895}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 280, ""activationTemp"": 68}}"
49;sim_1747527600000;2;62;Спринклер 4 сработал: температура 71°C;91.66;;object;45;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672373406"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 4"", ""position"": {""x"": 700, ""y"": 650}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 270, ""activationTemp"": 68}}"
50;sim_1747527600000;2;58;Намокание зоны от спринклера (М1);95.66;;event;;;"{""impactCode"": ""М1"", ""impactType"": ""climatic"", ""factor"": ""water_spray"", ""wetLevel_pct"": 20, ""description"": ""Влажность в зоне повышена, характеристики объектов сохраняются""}"
51;sim_1747527600000;2;63;Стеллаж 1 намочен спринклером — товар испорчен (М2);110.66;;object;;;"{""impactCode"": ""М2"", ""impactType"": ""climatic"", ""factor"": ""water_damage"", ""objectId"": ""object_1778672180187"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 1"", ""position"": {""x"": 450, ""y"": 420}, ""damageCause"": ""water"", ""description"": ""Товар намочен — временная потеря потребительских свойств, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 70, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": true, ""status"": ""damaged"", ""currentDamage"": 8.0}}"
52;sim_1747527600000;2;71;Стеллаж 2 намочен спринклером — товар испорчен (М2);125.66;;object;;;"{""impactCode"": ""М2"", ""impactType"": ""climatic"", ""factor"": ""water_damage"", ""objectId"": ""object_1778672220634"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 2"", ""position"": {""x"": 620, ""y"": 390}, ""damageCause"": ""water"", ""description"": ""Товар намочен — временная потеря потребительских свойств, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 65, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": true, ""status"": ""damaged"", ""currentDamage"": 8.0}}"
53;sim_1747527600000;2;79;Стеллаж 3 намочен спринклером — товар испорчен (М2);140.66;;object;;;"{""impactCode"": ""М2"", ""impactType"": ""climatic"", ""factor"": ""water_damage"", ""objectId"": ""object_1778672253543"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 3"", ""position"": {""x"": 430, ""y"": 580}, ""damageCause"": ""water"", ""description"": ""Товар намочен — временная потеря потребительских свойств, восстановление возможно"", ""objectProperties"": {""material"": ""flammable"", ""load"": 80, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": true, ""status"": ""damaged"", ""currentDamage"": 8.0}}"
54;sim_1747527600000;2;61;Температура воздуха в зоне: критический уровень (Т2);102.66;;event;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""temperature_C"": 181, ""zone"": ""main_warehouse"", ""description"": ""Пребывание людей без защиты невозможно — временная потеря функциональности зоны""}"
55;sim_1747527600000;2;65;Концентрация CO: опасный уровень (Х2);108.66;;event;;;"{""impactCode"": ""Х2"", ""impactType"": ""chemical"", ""factor"": ""CO"", ""CO_ppm"": 329, ""CO2_ppm"": 6452, ""description"": ""CO превышает 200 ppm — временная потеря работоспособности персонала без СИЗОД""}"
56;sim_1747527600000;2;58;Вентиляция отключилась при 162°C (Т2);100.66;;object;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""objectId"": ""object_1779051672543"", ""objectType"": ""smoke_detector"", ""temperature_C"": 162, ""description"": ""Временная потеря функции вентиляции — восстановление после охлаждения"", ""objectProperties"": {""status"": ""damaged"", ""isOn"": false, ""temperature"": 162}}"
57;sim_1747527600000;2;88;Система автотушения активирована;200.66;;event;;;"{""sourceNodeId"": ""node_1779052282008""}"
58;sim_1747527600000;2;89;Локализация пожара;200.66;600.0;action;;;"{""nodeId"": ""node_1779052518161"", ""responsible"": ""Инженер по безопасности"", ""parallel"": true}"
59;sim_1747527600000;2;123;Спринклер 1: запас воды исчерпан (К2→0);381.66;;object;;;"{""impactCode"": ""К2"", ""impactType"": ""climatic"", ""factor"": ""water_supply"", ""objectId"": ""object_1778672149322"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 1"", ""description"": ""Запас воды исчерпан — функция подавления огня временно утрачена"", ""objectProperties"": {""status"": ""depleted"", ""waterSupplyRemaining"": 0, ""isActive"": false}}"
60;sim_1747527600000;2;103;Температура в зоне снижается (Т1);291.66;;event;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""temperature_C"": 73, ""zone"": ""main_warehouse"", ""description"": ""Спринклеры подавили горение — характеристики зоны восстанавливаются""}"
61;sim_1747527600000;2;93;Контроль ликвидации пожара;211.66;660.0;action;;;"{""nodeId"": ""node_1779052723979"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
62;sim_1747527600000;2;183;Полная ликвидация пожара;871.66;;event;58;;"{""sourceNodeId"": ""node_1779052518161"", ""outcome"": ""success""}"
63;sim_1747527600000;2;185;Фиксация нанесенного ущерба;873.66;180.0;action;;;"{""nodeId"": ""node_1779053495479"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
64;sim_1747527600000;2;203;Завершение запуска #2;1053.66;;system;;;"{""runNumber"": 2, ""outcome"": ""success"", ""strategy"": ""auto"", ""totalTimeSec"": 1053.7, ""impactSummary"": {""T1_zones"": 1, ""T2_shelves_fire"": 1, ""T2_shelves_water"": 3, ""T3_shelves_fire"": 0, ""K2_shelves_water"": 3, ""X2_CO_peak"": true, ""X3_flammable"": false}, ""maxDamageLevel"": ""Т2"", ""humidity"": 42, ""temperature"": 21, ""sprinklersActivated"": 4}"
65;sim_1747527600000;3;0;Запуск #3;0.0;;system;;;"{""runNumber"": 3, ""strategy"": ""auto"", ""humidity"": 44, ""temperature"": 18}"
66;sim_1747527600000;3;6;Задымление: начальный уровень (Т1);10.47;;event;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""smoke"", ""smokeDensity_pct"": 8.5, ""CO2_ppm"": 742, ""CO_ppm"": 6, ""description"": ""Эксплуатационные характеристики помещения сохраняются"", ""objectId"": ""object_1779051672543"", ""objectLabel"": ""Датчик дыма""}"
67;sim_1747527600000;3;7;Датчик дыма: возгорание обнаружено;15.14;;event;;;"{""impactCode"": ""Т1"", ""objectId"": ""object_1779051672543"", ""label"": ""Датчик дыма"", ""isActive"": true, ""smokeDensity_pct"": 14, ""CO2_ppm"": 950}"
68;sim_1747527600000;3;7;Мониторинг работы склада;15.64;15.0;action;;;"{""nodeId"": ""node_detect"", ""responsible"": ""Дежурный охранник"", ""parallel"": false, ""resultEventId"": 69}"
69;sim_1747527600000;3;8;Возгорание обнаружено;30.64;;event;;;"{""sourceNodeId"": ""node_detect"", ""resultEventId"": 69}"
70;sim_1747527600000;3;14;Задымление: критический уровень (Т2);40.64;;event;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""smoke"", ""smokeDensity_pct"": 35.4, ""CO2_ppm"": 2770, ""CO_ppm"": 109, ""visibility_m"": 2.4, ""description"": ""Видимость снижена, персонал временно теряет ориентацию — эвакуация затруднена""}"
71;sim_1747527600000;3;11;Стеллаж 2 в зоне воздействия огня (Т1);38.64;;object;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""fire"", ""objectId"": ""object_1778672220634"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 2"", ""position"": {""x"": 620, ""y"": 390}, ""intensity"": 1, ""temperature_C"": 55, ""objectProperties"": {""material"": ""mixed"", ""load"": 65, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""at_risk"", ""currentDamage"": 0}}"
72;sim_1747527600000;3;9;Оповещение и эвакуация персонала;31.64;240.0;action;;73;"{""nodeId"": ""node_1779051773013"", ""responsible"": ""Дежурный охранник"", ""parallel"": true, ""resultEventId"": 73}"
73;sim_1747527600000;3;41;Персонал эвакуирован;271.64;;event;72;;"{""sourceNodeId"": ""node_1779051773013""}"
74;sim_1747527600000;3;16;Химическое воздействие продуктов горения (Х1);48.64;;event;;;"{""impactCode"": ""Х1"", ""impactType"": ""chemical"", ""factor"": ""combustion_products"", ""CO_ppm"": 30, ""CO2_ppm"": 2179, ""NOx_ppm"": 2, ""description"": ""Концентрация ниже опасного порога (CO<50 ppm). Характеристики сохраняются""}"
75;sim_1747527600000;3;18;Стеллаж 1 повреждён (Т2) — термическое воздействие;55.64;;object;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""fire"", ""objectId"": ""object_1778672180187"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 1"", ""position"": {""x"": 450, ""y"": 420}, ""temperature_C"": 142, ""description"": ""Товар частично деформирован, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 70, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""damaged"", ""currentDamage"": 5.5}}"
76;sim_1747527600000;3;10;Оценка пожара: риск распространения;33.64;45.0;action;;;"{""nodeId"": ""node_1779052090057"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
77;sim_1747527600000;3;51;Активация системы автотушения;78.64;120.0;decision;;[78,79,80,81];"{""nodeId"": ""node_1779052282008"", ""responsible"": ""Инженер по безопасности"", ""parallel"": false, ""decisionNodeName"": ""Оценка пожара: риск распространения"", ""resultEventId"": 87}"
78;sim_1747527600000;3;56;Спринклер 1 сработал: температура 62°C;83.64;;object;77;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672149322"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 1"", ""position"": {""x"": 543, ""y"": 502}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 300, ""activationTemp"": 68}}"
79;sim_1747527600000;3;59;Спринклер 2 сработал: температура 65°C;85.64;;object;77;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672164672"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 2"", ""position"": {""x"": 559, ""y"": 832}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 290, ""activationTemp"": 68}}"
80;sim_1747527600000;3;62;Спринклер 3 сработал: температура 68°C;87.64;;object;77;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672385873"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 3"", ""position"": {""x"": 1019, ""y"": 895}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 280, ""activationTemp"": 68}}"
81;sim_1747527600000;3;65;Спринклер 4 сработал: температура 71°C;89.64;;object;77;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672373406"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 4"", ""position"": {""x"": 700, ""y"": 650}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 270, ""activationTemp"": 68}}"
82;sim_1747527600000;3;61;Намокание зоны от спринклера (М1);93.64;;event;;;"{""impactCode"": ""М1"", ""impactType"": ""climatic"", ""factor"": ""water_spray"", ""wetLevel_pct"": 20, ""description"": ""Влажность в зоне повышена, характеристики объектов сохраняются""}"
